step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
1,PAYMENT,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,0,0
1,PAYMENT,7817.71,C90045638,53860,46042.29,M573487274,0,0,0,0
1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
1,PAYMENT,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,0,0
1,PAYMENT,7817.71,C90045638,53860,46042.29,M573487274,0,0,0,0
1,PAYMENT,7107.77,C154988899,183195,176087.23,M408069119,0,0,0,0
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
1,PAYMENT,6737.2,C1454026445,624,0,M1378497201,0,0,0,0
1,PAYMENT,9161.98,C892931811,11128,1966.02,M1577167234,0,0,0,0
1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
1,PAYMENT,6737.2,C1454026445,624,0,M1378497201,0,0,0,0
1,PAYMENT,9161.98,C892931811,11128,1966.02,M1577167234,0,0,0,0
1,PAYMENT,1239.06,C1574873161,396386,395146.94,M1591916281,0,0,0,0
1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1,0
1,PAYMENT,154.87,C1527254842,9339,9184.13,M2000469839,0,0,0,0
1,DEBIT,4040.84,C1800693087,1938,0,C1825027294,51339,36757.68,0,0
1,CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,1,0
1,PAYMENT,154.87,C1527254842,9339,9184.13,M2000469839,0,0,0,0
1,DEBIT,4040.84,C1800693087,1938,0,C1825027294,51339,36757.68,0,0
1,PAYMENT,6490.17,C1717473929,548504,542013.83,M2100572327,0,0,0,0
1,CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,1,0
1,PAYMENT,6432.26,C1313960293,0,0,M1155757579,0,0,0,0
1,PAYMENT,8690.86,C1785111044,29772,21081.14,M1482748887,0,0,0,0
1,PAYMENT,3791.28,C494894055,32463,28671.72,M1123226989,0,0,0,0
1,TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,1,0
1,CASH_IN,24105.5,C422522663,144,24249.5,C644345897,20875,0,0,0
